gene_name	log2FoldChange	log2FC.shrink	pvalue	padj	de_vector	condition
CJJ81176_0049	-0.3955282449320311	-0.25499605198450587	0.05240877909057114	0.15606516496354977	0	As
CJJ81176_0050	0.15773116051402392	0.12882351533698644	0.18359676680665887	0.37656750526411825	0	As
CJJ81176_0051	0.1758938965278962	0.1540659395140813	0.04700403969541994	0.14601254884109172	0	As
CJJ81176_0052	-0.13026746034543593	-0.08429087574283775	0.4025085839994888	0.6240664063425703	0	As
CJJ81176_0053	0.24091885058702964	0.19626287523956687	0.04574931177744472	0.1434028538137216	0	As
CJJ81176_0054	0.03091244381704779	0.0275517998569757	0.7404836045359848	0.8613682708888346	0	As
CJJ81176_0055	0.013355427465333112	0.009840562720127677	0.9092329931071339	0.9550217049902269	0	As
CJJ81176_0056	-0.09031125145558423	-0.06450660602680423	0.48009919942793233	0.6827384719137479	0	As
CjNC9	-1.3550900961673062	-0.2874041044653393	0.017173717534874684	0.07484664955497623	0	As
CJJ81176_1707	0.4641864756853802	0.03864856437923057	0.5067503698785611	0.7018392474523629	0	As
CJJ81176_1708	-0.07627381512239731	-0.01925105930880039	0.8320459187198067	0.9105212052449103	0	As
CJJ81176_0063	-0.6187586813811162	-0.295928420016	0.04339365960053784	0.13949668187182074	0	As
CJJ81176_0064	-0.5780629543454321	-0.2994155424302745	0.04369303332194316	0.1397204251513163	0	As
CJJ81176_0065	-0.8003702923232241	-0.5051576788750294	0.010746437234251513	0.053793594384024715	0	As
CJJ81176_0066	-0.9221051769817341	-0.8656170172599467	1.7972837985749775e-7	1.5587219318146436e-5	-1	As
CJJ81176_0067	-0.8240627173883227	-0.6649061789139287	0.0010122348444353906	0.009048140038014308	-1	As
CJJ81176_0068	0.05444463820489528	0.0466690262396605	0.5422802098386843	0.7297042454972157	0	As
CJJ81176_0069	0.08048783170206346	0.032653467173317456	0.7527166404971315	0.8664648844618754	0	As
CJJ81176_0070	-0.23354292946280372	-0.1745519759232425	0.07585481785593264	0.2022777971852534	0	As
CJJ81176_0071	-0.09232771658100228	-0.05506457858964508	0.5576984120006112	0.7407790885709407	0	As
CJJ81176_0072	-0.013495697747405113	-0.012120514303165953	0.9175497352077336	0.9568732952880652	0	As
CJJ81176_0073	0.2718199779785195	0.20472517346839575	0.05989574514432224	0.16870955867018098	0	As
CJJ81176_0074	-0.04723355334453064	-0.029475073017599183	0.7464824530431371	0.8632589159944397	0	As
CJJ81176_0075	0.2123521527205001	0.13802097913821296	0.20706414342281224	0.4053367366220861	0	As
CJJ81176_0076	0.21420587198779367	0.10446010985390838	0.34675715973133947	0.5667150595609205	0	As
CJJ81176_0077	0.3751905794867836	0.33129473247501706	0.001573745920799025	0.012764828024258757	1	As
CJJ81176_0078	-1.110835931286214	-0.9693471410730933	2.4492820060833806e-5	5.297706265009979e-4	-1	As
CJJ81176_0079	-0.4296738053638023	-0.30507033224746016	0.026203333004334792	0.10224552210154689	0	As
CJJ81176_0080	-0.44737296125795	-0.3338817856328995	0.008539362188109332	0.04561269071209619	-1	As
CJJ81176_0081	-0.4379053332615041	-0.3503087442682021	0.006581901512170332	0.038696280031283295	-1	As
CJJ81176_0082	-0.975317994713486	-0.8228253127649657	2.6613225100266145e-4	0.0035057421335087436	-1	As
CJJ81176_0083	-1.038423344418519	-0.9513224494449657	9.907785106187227e-7	5.78614650201334e-5	-1	As
SRP_RNA_Cjs03	-0.2282445670052315	-0.04292527389002069	0.5905475735986785	0.7663995177369516	0	As
CJJ81176_0084	-0.9469966566085989	-0.7716342497880834	6.205531171906688e-4	0.006433189711941134	-1	As
CJJ81176_0085	-2.102064935191051	-0.06256577391830674	0.09209194164603779	0.23417283274870568	0	As
CJJ81176_0088	-0.22950282966259183	-5.346392853244349e-4	0.974781403191988	NA	0	As
CJJ81176_0089	-0.7638874975753499	-0.33752827238172783	0.0310094371732518	0.1119286171952073	0	As
CJJ81176_0090	0.08820744667233031	0.0691740396283637	0.4314590188721535	0.6471885283082303	0	As
CJJ81176_0091	-0.08660806811257162	-0.051063485368237134	0.621558418505512	0.7893449822397919	0	As
CJJ81176_0092	-0.7061920672066673	-0.6548075834615575	1.442604774590587e-6	7.221267328807738e-5	-1	As
CJJ81176_0093	-0.7590542615546485	-0.7240032727771097	7.430583563234688e-10	1.6598765745852674e-7	-1	As
CJJ81176_0094	-1.0774154356812218	-0.5199825938721728	0.01415615011959917	0.06526730265667828	0	As
CJJ81176_0096	-0.02022005612194946	-0.004300913827564604	0.955994647965836	0.9791650390136992	0	As
CJJ81176_0097	0.02766368503308999	0.02523940862482771	0.8093468956935568	0.8946219313912376	0	As
CJJ81176_0098	-0.47395346098377805	-0.405549739468395	0.0011272204046732582	0.009776683905878953	-1	As
CJJ81176_0099	-0.673000702671503	-0.6051089587069052	4.442034464654304e-6	1.4683857324668565e-4	-1	As
CJJ81176_0100	-0.7536464659161501	-0.663477369487098	7.017426791235363e-5	0.0012418718927519551	-1	As
CJJ81176_0101	0.16324931451309485	0.10299771441012011	0.345076804311799	0.5650229543497868	0	As
CJJ81176_0102	-0.2691474073830182	-0.21908359806990696	0.030170226421097436	0.11110762261846456	0	As
CJJ81176_0103	-1.1924814966727453	-0.894578582229425	0.0018611909652298147	0.014492473649256158	-1	As
CJJ81176_0104	-0.1006368877186621	-0.075544802271117	0.399176586624522	0.6222040745250557	0	As
CJJ81176_0105	0.028437220127710064	0.018641037035463368	0.8515998605786841	0.920520723447793	0	As
CJJ81176_0106	0.3499730287228008	0.2618719967190211	0.030757085431510112	0.11156607386336588	0	As
CJJ81176_0107	0.247918635750542	0.21396308149884646	0.018111926825164656	0.07784918755521184	0	As
CjNC11	-0.22948762577598808	-0.0013108966914750259	0.9527126689918427	NA	0	As
CJJ81176_0108	-1.6176496392857012	-0.23037826312244158	0.016035089739235057	0.07148467486804026	0	As
CJJ81176_0109	-1.1224169392094943	-0.9034013403693197	6.827941762445337e-4	0.006796905663525131	-1	As
CJJ81176_0110	-0.01268272789477906	-0.004963171339143406	0.9126258765358665	0.9553450456636148	0	As
CJJ81176_0111	0.08111702533195869	0.057766795097856476	0.46127766275641935	0.6729046337629032	0	As
CJJ81176_0112	0.007704986729477919	0.009293895058877615	0.9399889196692669	0.9696999229344219	0	As
